"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4608;1211;1420;1;1053;1000;0;1000;5,0332383665717;100;100
"ST.output";4608;1211;1420;0,9216;1057;1000;0;1000;5,3926206244087;100;100
