"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5929;928;1101;1;619;899;4;616;0,484652665589661;89,9;61,6
"ST.output";5929;928;1101;1;619;899;4;616;0,484652665589661;89,9;61,6
