"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4580;1199;1521;1;870;965;1;830;4,59770114942529;96,5;83
"ST.output";4580;1199;1521;0,916;881;965;1;836;5,10783200908059;96,5;83,6
