"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4736;388;734;1;0;244;201;0;NA;24,4;0
"ST.output";4736;388;734;0,9472;0;244;201;0;NA;24,4;0
