"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4600;1262;1500;1;1059;1000;0;1000;5,57129367327668;100;100
"ST.output";4600;1262;1500;0,92;1068;1000;0;1000;6,36704119850187;100;100
