"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";6137;391;609;1;1;422;142;1;0;42,2;0,1
"ST.output";6137;391;609;1;1;422;142;1;0;42,2;0,1
