"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4535;1227;1485;1;1014;995;0;971;4,24063116370809;99,5;97,1
"ST.output";4535;1227;1485;0,907;1018;995;0;973;4,42043222003929;99,5;97,3
