"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4883;1155;1436;1;831;944;7;789;5,05415162454874;94,4;78,9
"ST.output";4883;1155;1436;0,9766;834;944;7;792;5,03597122302158;94,4;79,2
