"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";6009;501;724;1;37;522;84;37;0;52,2;3,7
"ST.output";6009;501;724;1;37;522;84;37;0;52,2;3,7
