"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4536;1218;1481;1;975;991;1;935;4,1025641025641;99,1;93,5
"ST.output";4536;1218;1481;0,9072;982;991;1;938;4,4806517311609;99,1;93,8
