"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";6028;729;927;1;285;740;33;281;1,40350877192982;74;28,1
"ST.output";6028;729;927;1;285;740;33;281;1,40350877192982;74;28,1
