"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4855;309;614;1;0;124;320;0;NA;12,4;0
"ST.output";4855;309;614;0,971;0;124;320;0;NA;12,4;0
