"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5925;981;1145;1;734;943;0;729;0,681198910081744;94,3;72,9
"ST.output";5925;981;1145;1;734;943;0;729;0,681198910081744;94,3;72,9
