"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5878;457;769;1;1;366;168;1;0;36,6;0,1
"ST.output";5878;457;769;1;1;366;168;1;0;36,6;0,1
