"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4575;1093;1433;1;571;844;12;531;7,00525394045534;84,4;53,1
"ST.output";4575;1093;1433;0,915;594;844;12;549;7,57575757575758;84,4;54,9
