"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4904;516;852;1;6;365;131;6;0;36,5;0,6
"ST.output";4904;516;852;0,9808;6;365;131;6;0;36,5;0,6
