"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5260;325;597;1;5;70;7;5;0;70;5
"ST.output";5260;325;597;1;5;70;7;5;0;70;5
