"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5066;526;828;1;62;322;30;58;6,45161290322581;64,4;11,6
"ST.output";5066;526;828;1;62;322;30;58;6,45161290322581;64,4;11,6
