"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5299;273;533;1;0;5;0;0;NA;50;0
"ST.output";5299;273;533;1;0;5;0;0;NA;50;0
