"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5281;295;562;1;0;35;1;0;NA;70;0
"ST.output";5281;295;562;1;0;35;1;0;NA;70;0
