"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";2917;2665;3344;1;1940;3089;283;1887;2,7319587628866;61,78;37,74
"ST.output";2917;2665;3344;0,5834;2539;3089;283;2430;4,29302875147696;61,78;48,6
