"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4832;775;1126;1;171;639;59;163;4,67836257309941;63,9;16,3
"ST.output";4832;775;1126;0,9664;172;639;59;164;4,65116279069767;63,9;16,4
