"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5205;378;657;1;9;132;11;9;0;66;4,5
"ST.output";5205;378;657;1;9;132;11;9;0;66;4,5
