"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";562;5151;6223;1;5214;6223;562;5214;0;62,23;52,14
"ST.output";562;5151;6223;0,1124;9270;6223;562;9270;0;62,23;92,7
