"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5765;782;1068;1;252;734;32;248;1,58730158730159;73,4;24,8
"ST.output";5765;782;1068;1;252;734;32;248;1,58730158730159;73,4;24,8
