"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4774;1218;1467;1;979;980;1;930;5,00510725229826;98;93
"ST.output";4774;1218;1467;0,9548;980;980;1;931;5;98;93,1
