"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";6016;785;989;1;373;802;21;369;1,07238605898123;80,2;36,9
"ST.output";6016;785;989;1;373;802;21;369;1,07238605898123;80,2;36,9
