"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5749;833;1107;1;372;773;16;368;1,0752688172043;77,3;36,8
"ST.output";5749;833;1107;1;372;773;16;368;1,0752688172043;77,3;36,8
