"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5281;598;925;1;50;494;104;48;4;49,4;4,8
"ST.output";5281;598;925;1;50;494;104;48;4;49,4;4,8
