"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";6379;349;599;1;0;238;327;0;NA;23,8;0
"ST.output";6379;349;599;1;0;238;327;0;NA;23,8;0
