"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5996;960;1116;1;683;929;1;674;1,31771595900439;92,9;67,4
"ST.output";5996;960;1116;1;683;929;1;674;1,31771595900439;92,9;67,4
