"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5877;447;732;1;7;398;144;7;0;39,8;0,7
"ST.output";5877;447;732;1;7;398;144;7;0;39,8;0,7
