"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5927;1016;1165;1;842;963;2;835;0,831353919239905;96,3;83,5
"ST.output";5927;1016;1165;1;842;963;2;835;0,831353919239905;96,3;83,5
