"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5156;304;592;1;0;105;383;0;NA;10,5;0
"ST.output";5156;304;592;1;0;105;383;0;NA;10,5;0
