"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5003;296;582;1;5;36;2;5;0;72;10
"ST.output";5003;296;582;1;5;36;2;5;0;72;10
