"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4087;1658;2034;1;1060;1591;37;1019;3,86792452830189;79,55;50,95
"ST.output";4087;1658;2034;0,8174;1134;1591;37;1081;4,67372134038801;79,55;54,05
