"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4551;979;1298;1;438;808;16;423;3,42465753424658;80,8;42,3
"ST.output";4551;979;1298;0,9102;462;808;16;443;4,11255411255411;80,8;44,3
