"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4790;625;917;1;162;400;8;156;3,7037037037037;80;31,2
"ST.output";4790;625;917;0,958;162;400;8;156;3,7037037037037;80;31,2
