"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";2636;3657;4219;1;3344;3949;96;3261;2,48205741626794;78,98;65,22
"ST.output";2636;3657;4219;0,5272;3972;3949;96;3776;4,93454179254783;78,98;75,52
