"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4938;410;696;1;38;161;4;36;5,26315789473684;80,5;18
"ST.output";4938;410;696;0,9876;38;161;4;36;5,26315789473684;80,5;18
