"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";5016;279;564;1;0;17;0;0;NA;85;0
"ST.output";5016;279;564;1;0;17;0;0;NA;85;0
