"";"n(LRT=0)";"n (P < 0.025)";"n (P < 0.05)";"pi0";"n(q < 0.05)";"n(TP P < 0.05)";"n(TP P = 1)";"TP";"percent_FP";"classical_Power";"FDR_power"
"BH.output";4575;674;1053;1;112;563;40;109;2,67857142857143;56,3;10,9
"ST.output";4575;674;1053;0,915;119;563;40;115;3,36134453781513;56,3;11,5
